delay,training steps,traffic intensity,tm
0.38,2K,12.5%,125_0
0.376,2K,12.5%,125_1
0.367,2K,12.5%,125_2
0.358,2K,12.5%,125_3
0.367,2K,12.5%,125_4
0.361,2K,12.5%,125_5
0.364,2K,12.5%,125_6
0.336,2K,12.5%,125_7
0.432,2K,12.5%,125_8
0.375,2K,12.5%,125_9
0.365,2K,12.5%,125_10
0.371,2K,12.5%,125_11
0.354,2K,12.5%,125_12
0.386,2K,12.5%,125_13
0.383,2K,12.5%,125_14
0.382,2K,12.5%,125_15
0.375,2K,12.5%,125_16
0.402,2K,12.5%,125_17
0.438,2K,12.5%,125_18
0.42,2K,12.5%,125_19
0.378,2K,12.5%,125_20
0.385,2K,12.5%,125_21
0.34,2K,12.5%,125_22
0.392,2K,12.5%,125_23
0.364,2K,12.5%,125_24
0.451,2K,12.5%,125_25
0.367,2K,12.5%,125_26
0.353,2K,12.5%,125_27
0.356,2K,12.5%,125_28
0.356,2K,12.5%,125_29
0.389,2K,12.5%,125_30
0.379,2K,12.5%,125_31
0.382,2K,12.5%,125_32
0.366,2K,12.5%,125_33
0.367,2K,12.5%,125_34
0.452,2K,12.5%,125_35
0.378,2K,12.5%,125_36
0.358,2K,12.5%,125_37
0.387,2K,12.5%,125_38
0.403,2K,12.5%,125_39
0.36,2K,12.5%,125_40
0.392,2K,12.5%,125_41
0.361,2K,12.5%,125_42
0.348,2K,12.5%,125_43
0.369,2K,12.5%,125_44
0.384,2K,12.5%,125_45
0.346,2K,12.5%,125_46
0.369,2K,12.5%,125_47
0.439,2K,12.5%,125_48
0.386,2K,12.5%,125_49
0.364,2K,12.5%,125_50
0.36,2K,12.5%,125_51
0.359,2K,12.5%,125_52
0.373,2K,12.5%,125_53
0.362,2K,12.5%,125_54
0.41,2K,12.5%,125_55
0.361,2K,12.5%,125_56
0.373,2K,12.5%,125_57
0.335,2K,12.5%,125_58
0.393,2K,12.5%,125_59
0.351,2K,12.5%,125_60
0.377,2K,12.5%,125_61
0.413,2K,12.5%,125_62
0.368,2K,12.5%,125_63
0.367,2K,12.5%,125_64
0.39,2K,12.5%,125_65
0.401,2K,12.5%,125_66
0.361,2K,12.5%,125_67
0.362,2K,12.5%,125_68
0.359,2K,12.5%,125_69
0.392,2K,12.5%,125_70
0.362,2K,12.5%,125_71
0.397,2K,12.5%,125_72
0.366,2K,12.5%,125_73
0.375,2K,12.5%,125_74
0.393,2K,12.5%,125_75
0.418,2K,12.5%,125_76
0.365,2K,12.5%,125_77
0.361,2K,12.5%,125_78
0.392,2K,12.5%,125_79
0.389,2K,12.5%,125_80
0.353,2K,12.5%,125_81
0.372,2K,12.5%,125_82
0.362,2K,12.5%,125_83
0.367,2K,12.5%,125_84
0.352,2K,12.5%,125_85
0.4,2K,12.5%,125_86
0.384,2K,12.5%,125_87
0.414,2K,12.5%,125_88
0.357,2K,12.5%,125_89
0.416,2K,12.5%,125_90
0.375,2K,12.5%,125_91
0.375,2K,12.5%,125_92
0.397,2K,12.5%,125_93
0.378,2K,12.5%,125_94
0.375,2K,12.5%,125_95
0.362,2K,12.5%,125_96
0.365,2K,12.5%,125_97
0.359,2K,12.5%,125_98
0.345,2K,12.5%,125_99
0.916,2K,25%,250_0
0.773,2K,25%,250_1
1.007,2K,25%,250_2
0.562,2K,25%,250_3
0.845,2K,25%,250_4
1.044,2K,25%,250_5
0.924,2K,25%,250_6
0.507,2K,25%,250_7
0.898,2K,25%,250_8
1.738,2K,25%,250_9
1.028,2K,25%,250_10
0.565,2K,25%,250_11
0.956,2K,25%,250_12
0.664,2K,25%,250_13
0.833,2K,25%,250_14
0.702,2K,25%,250_15
0.554,2K,25%,250_16
1.17,2K,25%,250_17
0.917,2K,25%,250_18
0.572,2K,25%,250_19
0.718,2K,25%,250_20
0.787,2K,25%,250_21
0.667,2K,25%,250_22
1.137,2K,25%,250_23
0.815,2K,25%,250_24
0.904,2K,25%,250_25
0.896,2K,25%,250_26
0.57,2K,25%,250_27
1.48,2K,25%,250_28
0.485,2K,25%,250_29
1.2,2K,25%,250_30
1.043,2K,25%,250_31
0.676,2K,25%,250_32
0.585,2K,25%,250_33
1.06,2K,25%,250_34
0.975,2K,25%,250_35
0.715,2K,25%,250_36
0.734,2K,25%,250_37
1.357,2K,25%,250_38
1.098,2K,25%,250_39
1.828,2K,25%,250_40
0.477,2K,25%,250_41
0.671,2K,25%,250_42
0.587,2K,25%,250_43
1.456,2K,25%,250_44
0.798,2K,25%,250_45
1.102,2K,25%,250_46
0.805,2K,25%,250_47
0.523,2K,25%,250_48
1.293,2K,25%,250_49
1.577,2K,25%,250_50
1.045,2K,25%,250_51
0.853,2K,25%,250_52
1.199,2K,25%,250_53
0.609,2K,25%,250_54
0.539,2K,25%,250_55
1.151,2K,25%,250_56
0.509,2K,25%,250_57
0.697,2K,25%,250_58
0.521,2K,25%,250_59
0.729,2K,25%,250_60
0.797,2K,25%,250_61
0.955,2K,25%,250_62
0.6,2K,25%,250_63
0.621,2K,25%,250_64
0.625,2K,25%,250_65
1.677,2K,25%,250_66
0.784,2K,25%,250_67
0.659,2K,25%,250_68
1.776,2K,25%,250_69
0.873,2K,25%,250_70
0.754,2K,25%,250_71
0.515,2K,25%,250_72
0.952,2K,25%,250_73
1.302,2K,25%,250_74
1.091,2K,25%,250_75
1.055,2K,25%,250_76
1.05,2K,25%,250_77
0.807,2K,25%,250_78
1.09,2K,25%,250_79
0.633,2K,25%,250_80
0.911,2K,25%,250_81
0.528,2K,25%,250_82
0.996,2K,25%,250_83
0.498,2K,25%,250_84
0.592,2K,25%,250_85
0.658,2K,25%,250_86
0.916,2K,25%,250_87
0.929,2K,25%,250_88
0.837,2K,25%,250_89
0.896,2K,25%,250_90
0.754,2K,25%,250_91
0.699,2K,25%,250_92
1.178,2K,25%,250_93
0.849,2K,25%,250_94
1.235,2K,25%,250_95
0.602,2K,25%,250_96
0.89,2K,25%,250_97
1.333,2K,25%,250_98
0.609,2K,25%,250_99
2.033,2K,37.5%,375_0
2.264,2K,37.5%,375_1
1.652,2K,37.5%,375_2
1.547,2K,37.5%,375_3
1.771,2K,37.5%,375_4
1.68,2K,37.5%,375_5
1.803,2K,37.5%,375_6
1.549,2K,37.5%,375_7
2.269,2K,37.5%,375_8
1.417,2K,37.5%,375_9
2.212,2K,37.5%,375_10
1.339,2K,37.5%,375_11
1.599,2K,37.5%,375_12
2.176,2K,37.5%,375_13
1.497,2K,37.5%,375_14
2.266,2K,37.5%,375_15
1.581,2K,37.5%,375_16
2.156,2K,37.5%,375_17
4.133,2K,37.5%,375_18
1.312,2K,37.5%,375_19
3.439,2K,37.5%,375_20
1.487,2K,37.5%,375_21
1.498,2K,37.5%,375_22
1.528,2K,37.5%,375_23
1.54,2K,37.5%,375_24
